Code;ForecastDate;ForecastType;ForecastStart;ForecastEnd;PrecipitationProbability;WeatherConditions;PrecipitationType;ExpectedPrecipitationAmount;MinimumTemperature;MaximumTemperature;WindDirection;WindSpeed;PrecipitationAmountDay;Notes;global_id
601582;16.12.2019 05:46;трехчасовой прогноз;16.12.2019 09:00;16.12.2019 12:00;;;без осадков;;1;3;;;;Днем местами небольшие осадки 0-1 мм. Температура 1…3 градуса. Ветер юго-восточный 7-12 м/сек. Ночью местами небольшие осадки 0-1 мм. Температура 0…+2 градуса. Ветер западный 5-10 м/сек.;1023516652
601768;17.12.2019 05:41;трехчасовой прогноз;17.12.2019 09:00;17.12.2019 12:00;;;дождь;;1;3;;;;Днем небольшие осадки 1-2 мм. Температура 1…3 градуса. Ветер юго-западный 5-10 м/сек. Ночью местами небольшие осадки 0-1 мм. Температура 1…3 градуса. Ветер западный 3-8 м/сек.;1023581222
601965;18.12.2019 05:44;трехчасовой прогноз;18.12.2019 09:00;18.12.2019 12:00;;;дождь;;4;6;;;;Днем местами небольшой дождь 0-2 мм. Температура 4…6 градусов. Ветер южный 6-11 м/сек. Ночью местами небольшие осадки 0-1 мм. Температура 4…6 градусов. Ветер западный 7-12 м/сек, местами порывы 15-20 м/сек.;1023613314
602159;19.12.2019 05:38;трехчасовой прогноз;19.12.2019 09:00;19.12.2019 12:00;;;дождь;;4;6;;;;Днем местами небольшие осадки 0-0,5 мм. Температура 4…6 градусов. Ветер западный 7-12 м/сек, местами порывы 15-20 м/сек. Ночью без осадков. Температура -1…+1 градус. Ветер северо-западный 7-12 м/сек, местами порывы 15-17 м/сек.;1025975515
602345;20.12.2019 05:43;трехчасовой прогноз;20.12.2019 09:00;20.12.2019 12:00;;;без осадков;;-1;1;;;;Днем без осадков. Температура -1…+1 градус. Ветер северо-западный 5-10 м/сек. Ночью без осадков. Температура -2…0 градусов. Ветер слабый, менее 5 м/сек.;1025992678
602542;21.12.2019 05:54;трехчасовой прогноз;21.12.2019 09:00;21.12.2019 12:00;;;без осадков;;0;2;;;;Днем без осадков. Температура 0…+2 градуса. Ветер южный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 0…+2 градуса. Ветер южный 3-8 м/сек.;1026032411
602739;22.12.2019 05:45;трехчасовой прогноз;22.12.2019 09:00;22.12.2019 12:00;;;дождь;;3;5;;;;Днем местами небольшие осадки 0-0,5 мм. Температура 3…5 градусов. Ветер юго-восточный 5-10 м/сек. Ночью местами небольшие осадки 0-1 мм. Температура 3…5 градусов. Ветер юго-восточный 5-10 м/сек.;1026033604
602935;23.12.2019 05:35;трехчасовой прогноз;23.12.2019 09:00;23.12.2019 12:00;;;дождь;;6;8;;;;Днем небольшой дождь 1-3 мм. Температура 6…8 градусов. Ветер юго-восточный 5-10 м/сек. Ночью небольшой дождь 1-3 мм. Температура 5…7 градусов. Ветер юго-восточный 5-10 м/сек.;1026294520
603131;24.12.2019 05:41;трехчасовой прогноз;24.12.2019 09:00;24.12.2019 12:00;;;без осадков;;5;7;;;;Днем местами небольшой дождь 0-0,5 мм. Температура 5…7 градусов. Ветер южный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 0…+2 градуса. Ветер юго-восточный 3-8 м/сек.;1026373342
603327;25.12.2019 05:55;трехчасовой прогноз;25.12.2019 09:00;25.12.2019 12:00;;;без осадков;;2;4;;;;Днем без существенных осадков 0-0,2 мм. Температура 2…4 градуса. Ветер юго-восточный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура -1…+1 градус. Ветер юго-восточный 3-8 м/сек.;1026389305
603524;26.12.2019 05:46;трехчасовой прогноз;26.12.2019 09:00;26.12.2019 12:00;;;дождь;;0;2;;;;Днем без существенных осадков 0-0,2 мм. Температура 0…+2 градуса. Ветер юго-восточный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура -1…+1 градус. Ветер переменный 2-7 м/сек.;1026486188
603710;27.12.2019 05:37;трехчасовой прогноз;27.12.2019 09:00;27.12.2019 12:00;;;дождь;;-1;1;;;;Днем без существенных осадков 0-0,2 мм. Температура -1…+1 градус. Ветер северо-восточный 3-8 м/сек. Ночью местами небольшой снег 0-0,5 мм. Температура -2…0 градусов. Ветер северо-восточный 3-8 м/сек.;1026492314
603896;28.12.2019 05:53;трехчасовой прогноз;28.12.2019 09:00;28.12.2019 12:00;;;без осадков;;-1;1;;;;Днем местами небольшой снег 0-0,5 мм. Температура -1…+1 градус. Ветер северо-восточный 3-8 м/сек. Без существенных осадков 0-0,2 мм. Температура -4…-2 градуса. Ветер северо-восточный 3-8 м/сек.;1026504436
